Firefox | 24.13.81.249 | 2013-12-04 00:45:17 -0600 | American (AA) 392 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:17 -0600 | American (AA) 384 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:17 -0600 | American (AA) 360 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:18 -0600 | American (AA) 352 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:18 -0600 | American (AA) 368 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:18 -0600 | Spirit (NK) 630 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:19 -0600 | American (AA) 3271 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:19 -0600 | Delta (DL) 5958 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:19 -0600 | Delta (DL) 5956 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:20 -0600 | American (AA) 3261 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:20 -0600 | American (AA) 3261 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:20 -0600 | United (UA) 1436 | 198
Firefox | 24.13.81.249 | 2013-12-04 00:45:21 -0600 | United (UA) 682 | 208
Firefox | 24.13.81.249 | 2013-12-04 00:45:21 -0600 | United (UA) 3910 | 209
Firefox | 24.13.81.249 | 2013-12-04 00:45:21 -0600 | Delta (DL) 5954 | 311
Firefox | 24.13.81.249 | 2013-12-04 00:45:22 -0600 | United (UA) 3916 | 311
Firefox | 24.13.81.249 | 2013-12-04 00:45:22 -0600 | United (UA) 3570 | 311
Firefox | 24.13.81.249 | 2013-12-04 00:45:22 -0600 | United (UA) 3914 | 311
Firefox | 24.13.81.249 | 2013-12-04 00:45:23 -0600 | United (UA) 638 | 209
Firefox | 24.13.81.249 | 2013-12-04 00:45:23 -0600 | Delta (DL) 5940 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:23 -0600 | United (UA) 692 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:23 -0600 | Delta (DL) 5938 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:24 -0600 | United (UA) 3918 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:24 -0600 | United (UA) 1072 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:24 -0600 | Delta (DL) 5944 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:25 -0600 | American (AA) 3748 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:25 -0600 | American (AA) 4281 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:25 -0600 | United (UA) 3495 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:25 -0600 | United (UA) 1183 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:26 -0600 | JetBlue (B6) 906 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:26 -0600 | Amtrak (2V) 30 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:26 -0600 | Amtrak (2V) 30 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:26 -0600 | Amtrak (2V) 30 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:27 -0600 | Amtrak (2V) 30 | 342
Firefox | 24.13.81.249 | 2013-12-04 00:45:27 -0600 | Amtrak (2V) 30 | 342
Tor | 212.83.151.15 | 2013-12-04 00:46:06 -0600 | American (AA) 394 | 198
Tor | 212.83.151.15 | 2013-12-04 00:46:07 -0600 | American (AA) 392 | 198
Tor | 212.83.151.15 | 2013-12-04 00:46:07 -0600 | American (AA) 360 | 198
